"Notes"	"State of Residence"	"State of Residence Code"	"Year"	"Year Code"	Births
	"Alabama"	"01"	"2016"	"2016"	59151
	"Alabama"	"01"	"2017"	"2017"	58941
	"Alabama"	"01"	"2018"	"2018"	57761
	"Alabama"	"01"	"2019"	"2019"	58615
	"Alabama"	"01"	"2020"	"2020"	57647
	"Alabama"	"01"	"2021"	"2021"	58054
	"Alabama"	"01"	"2022"	"2022"	58149
"Total"	"Alabama"	"01"			408318
	"Alaska"	"02"	"2016"	"2016"	11209
	"Alaska"	"02"	"2017"	"2017"	10445
	"Alaska"	"02"	"2018"	"2018"	10086
	"Alaska"	"02"	"2019"	"2019"	9822
	"Alaska"	"02"	"2020"	"2020"	9469
	"Alaska"	"02"	"2021"	"2021"	9367
	"Alaska"	"02"	"2022"	"2022"	9359
"Total"	"Alaska"	"02"			69757
	"Arizona"	"04"	"2016"	"2016"	84520
	"Arizona"	"04"	"2017"	"2017"	81872
	"Arizona"	"04"	"2018"	"2018"	80723
	"Arizona"	"04"	"2019"	"2019"	79375
	"Arizona"	"04"	"2020"	"2020"	76947
	"Arizona"	"04"	"2021"	"2021"	77916
	"Arizona"	"04"	"2022"	"2022"	78547
"Total"	"Arizona"	"04"			559900
	"Arkansas"	"05"	"2016"	"2016"	38274
	"Arkansas"	"05"	"2017"	"2017"	37520
	"Arkansas"	"05"	"2018"	"2018"	37018
	"Arkansas"	"05"	"2019"	"2019"	36564
	"Arkansas"	"05"	"2020"	"2020"	35251
	"Arkansas"	"05"	"2021"	"2021"	35965
	"Arkansas"	"05"	"2022"	"2022"	35471
"Total"	"Arkansas"	"05"			256063
	"California"	"06"	"2016"	"2016"	488827
	"California"	"06"	"2017"	"2017"	471658
	"California"	"06"	"2018"	"2018"	454920
	"California"	"06"	"2019"	"2019"	446479
	"California"	"06"	"2020"	"2020"	420259
	"California"	"06"	"2021"	"2021"	420608
	"California"	"06"	"2022"	"2022"	419104
"Total"	"California"	"06"			3121855
	"Colorado"	"08"	"2016"	"2016"	66613
	"Colorado"	"08"	"2017"	"2017"	64382
	"Colorado"	"08"	"2018"	"2018"	62885
	"Colorado"	"08"	"2019"	"2019"	62869
	"Colorado"	"08"	"2020"	"2020"	61494
	"Colorado"	"08"	"2021"	"2021"	62949
	"Colorado"	"08"	"2022"	"2022"	62383
"Total"	"Colorado"	"08"			443575
	"Connecticut"	"09"	"2016"	"2016"	36015
	"Connecticut"	"09"	"2017"	"2017"	35221
	"Connecticut"	"09"	"2018"	"2018"	34725
	"Connecticut"	"09"	"2019"	"2019"	34258
	"Connecticut"	"09"	"2020"	"2020"	33460
	"Connecticut"	"09"	"2021"	"2021"	35670
	"Connecticut"	"09"	"2022"	"2022"	35332
"Total"	"Connecticut"	"09"			244681
	"Delaware"	"10"	"2016"	"2016"	10992
	"Delaware"	"10"	"2017"	"2017"	10855
	"Delaware"	"10"	"2018"	"2018"	10621
	"Delaware"	"10"	"2019"	"2019"	10562
	"Delaware"	"10"	"2020"	"2020"	10392
	"Delaware"	"10"	"2021"	"2021"	10482
	"Delaware"	"10"	"2022"	"2022"	10816
"Total"	"Delaware"	"10"			74720
	"District of Columbia"	"11"	"2016"	"2016"	9858
	"District of Columbia"	"11"	"2017"	"2017"	9560
	"District of Columbia"	"11"	"2018"	"2018"	9212
	"District of Columbia"	"11"	"2019"	"2019"	9079
	"District of Columbia"	"11"	"2020"	"2020"	8874
	"District of Columbia"	"11"	"2021"	"2021"	8660
	"District of Columbia"	"11"	"2022"	"2022"	8075
"Total"	"District of Columbia"	"11"			63318
	"Florida"	"12"	"2016"	"2016"	225022
	"Florida"	"12"	"2017"	"2017"	223630
	"Florida"	"12"	"2018"	"2018"	221542
	"Florida"	"12"	"2019"	"2019"	220002
	"Florida"	"12"	"2020"	"2020"	209671
	"Florida"	"12"	"2021"	"2021"	216260
	"Florida"	"12"	"2022"	"2022"	224433
"Total"	"Florida"	"12"			1540560
	"Georgia"	"13"	"2016"	"2016"	130042
	"Georgia"	"13"	"2017"	"2017"	129243
	"Georgia"	"13"	"2018"	"2018"	126172
	"Georgia"	"13"	"2019"	"2019"	126371
	"Georgia"	"13"	"2020"	"2020"	122473
	"Georgia"	"13"	"2021"	"2021"	124073
	"Georgia"	"13"	"2022"	"2022"	126130
"Total"	"Georgia"	"13"			884504
	"Hawaii"	"15"	"2016"	"2016"	18059
	"Hawaii"	"15"	"2017"	"2017"	17517
	"Hawaii"	"15"	"2018"	"2018"	16972
	"Hawaii"	"15"	"2019"	"2019"	16797
	"Hawaii"	"15"	"2020"	"2020"	15785
	"Hawaii"	"15"	"2021"	"2021"	15620
	"Hawaii"	"15"	"2022"	"2022"	15535
"Total"	"Hawaii"	"15"			116285
	"Idaho"	"16"	"2016"	"2016"	22482
	"Idaho"	"16"	"2017"	"2017"	22181
	"Idaho"	"16"	"2018"	"2018"	21403
	"Idaho"	"16"	"2019"	"2019"	22063
	"Idaho"	"16"	"2020"	"2020"	21533
	"Idaho"	"16"	"2021"	"2021"	22427
	"Idaho"	"16"	"2022"	"2022"	22391
"Total"	"Idaho"	"16"			154480
	"Illinois"	"17"	"2016"	"2016"	154445
	"Illinois"	"17"	"2017"	"2017"	149390
	"Illinois"	"17"	"2018"	"2018"	144815
	"Illinois"	"17"	"2019"	"2019"	140128
	"Illinois"	"17"	"2020"	"2020"	133298
	"Illinois"	"17"	"2021"	"2021"	132189
	"Illinois"	"17"	"2022"	"2022"	128350
"Total"	"Illinois"	"17"			982615
	"Indiana"	"18"	"2016"	"2016"	83091
	"Indiana"	"18"	"2017"	"2017"	82170
	"Indiana"	"18"	"2018"	"2018"	81646
	"Indiana"	"18"	"2019"	"2019"	80859
	"Indiana"	"18"	"2020"	"2020"	78616
	"Indiana"	"18"	"2021"	"2021"	79946
	"Indiana"	"18"	"2022"	"2022"	79649
"Total"	"Indiana"	"18"			565977
	"Iowa"	"19"	"2016"	"2016"	39403
	"Iowa"	"19"	"2017"	"2017"	38430
	"Iowa"	"19"	"2018"	"2018"	37785
	"Iowa"	"19"	"2019"	"2019"	37649
	"Iowa"	"19"	"2020"	"2020"	36114
	"Iowa"	"19"	"2021"	"2021"	36835
	"Iowa"	"19"	"2022"	"2022"	36506
"Total"	"Iowa"	"19"			262722
	"Kansas"	"20"	"2016"	"2016"	38053
	"Kansas"	"20"	"2017"	"2017"	36519
	"Kansas"	"20"	"2018"	"2018"	36261
	"Kansas"	"20"	"2019"	"2019"	35395
	"Kansas"	"20"	"2020"	"2020"	34376
	"Kansas"	"20"	"2021"	"2021"	34705
	"Kansas"	"20"	"2022"	"2022"	34401
"Total"	"Kansas"	"20"			249710
	"Kentucky"	"21"	"2016"	"2016"	55449
	"Kentucky"	"21"	"2017"	"2017"	54752
	"Kentucky"	"21"	"2018"	"2018"	53922
	"Kentucky"	"21"	"2019"	"2019"	53069
	"Kentucky"	"21"	"2020"	"2020"	51668
