Sex,Year,Name,Number,State,Births_x,name_share_in_state,Births_y,share_in_year
F,2022,Charlotte,335,Indiana,79649,0.00841190724302879,12936,0.007053900502704922
F,2022,Amelia,303,Indiana,79649,0.007608381775037979,12400,0.006761623858498843
F,2022,Olivia,292,Indiana,79649,0.007332169895416138,16630,0.009068210061841595
F,2022,Emma,288,Indiana,79649,0.007231729211917287,14484,0.00789801290052397
F,2022,Ava,247,Indiana,79649,0.006202212206054062,11087,0.0060456551386432805
F,2022,Sophia,229,Indiana,79649,0.005750229130309232,12361,0.006740357460879371
F,2022,Evelyn,219,Indiana,79649,0.005499127421562104,9326,0.005085395492287114
F,2022,Isabella,210,Indiana,79649,0.005273135883689688,11731,0.006396823345487897
F,2022,Mia,187,Indiana,79649,0.004695601953571294,11061,0.006031477540230298
F,2022,Luna,160,Indiana,79649,0.004017627339954049,8957,0.004884182653272108
M,2022,Oliver,430,Indiana,79649,0.010797373476126505,15141,0.008256269906575079
M,2022,Liam,364,Indiana,79649,0.00914010219839546,20533,0.01119648570052877
M,2022,Theodore,306,Indiana,79649,0.007683712287662118,10800,0.005889156263853832
M,2022,Henry,292,Indiana,79649,0.007332169895416138,11262,0.006141081281807579
M,2022,Noah,290,Indiana,79649,0.0072819495536667125,18708,0.010201327350386803
M,2022,Elijah,289,Indiana,79649,0.007256839382792,12054,0.006572952741156859
M,2022,Benjamin,234,Indiana,79649,0.005875779984682796,10884,0.0059349608125726944
M,2022,William,232,Indiana,79649,0.00582555964293337,11330,0.006178161154579992
M,2022,James,223,Indiana,79649,0.005599568105060955,12089,0.006592037969789719
M,2022,Lucas,193,Indiana,79649,0.004846262978819571,10950,0.005970950100851801
F,2022,Olivia,625,Illinois,128350,0.009738994935722634,16630,0.009068210061841595
F,2022,Sophia,512,Illinois,128350,0.007978184651343981,12361,0.006740357460879371
F,2022,Emma,509,Illinois,128350,0.007931437475652513,14484,0.00789801290052397
F,2022,Charlotte,491,Illinois,128350,0.007650954421503701,12936,0.007053900502704922
F,2022,Amelia,447,Illinois,128350,0.006965329178028827,12400,0.006761623858498843
F,2022,Mia,417,Illinois,128350,0.006497857421114141,11061,0.006031477540230298
F,2022,Isabella,415,Illinois,128350,0.0064666926373198284,11731,0.006396823345487897
F,2022,Ava,398,Illinois,128350,0.006201791975068173,11087,0.0060456551386432805
F,2022,Evelyn,325,Illinois,128350,0.00506427736657577,9326,0.005085395492287114
F,2022,Luna,283,Illinois,128350,0.004409816906895209,8957,0.004884182653272108
M,2022,Noah,697,Illinois,128350,0.010860927152317882,18708,0.010201327350386803
M,2022,Liam,584,Illinois,128350,0.00910011686793923,20533,0.01119648570052877
M,2022,Oliver,546,Illinois,128350,0.008507985975847293,15141,0.008256269906575079
M,2022,Theodore,472,Illinois,128350,0.007354888975457732,10800,0.005889156263853832
M,2022,Benjamin,462,Illinois,128350,0.007199065056486171,10884,0.0059349608125726944
M,2022,Henry,450,Illinois,128350,0.007012076353720296,11262,0.006141081281807579
M,2022,James,411,Illinois,128350,0.006404363069731204,12089,0.006592037969789719
M,2022,William,407,Illinois,128350,0.006342033502142579,11330,0.006178161154579992
M,2022,Elijah,377,Illinois,128350,0.005874561745227893,12054,0.006572952741156859
M,2022,Lucas,313,Illinois,128350,0.004877288663809895,10950,0.005970950100851801
F,2022,Olivia,164,Kansas,34401,0.009534606552135113,16630,0.009068210061841595
F,2022,Charlotte,161,Kansas,34401,0.009360193017644836,12936,0.007053900502704922
F,2022,Amelia,141,Kansas,34401,0.008197436121042992,12400,0.006761623858498843
F,2022,Emma,128,Kansas,34401,0.007441644138251795,14484,0.00789801290052397
F,2022,Evelyn,110,Kansas,34401,0.006395162931310136,9326,0.005085395492287114
F,2022,Ava,85,Kansas,34401,0.004941716810557832,11087,0.0060456551386432805
F,2022,Isabella,85,Kansas,34401,0.004941716810557832,11731,0.006396823345487897
F,2022,Mia,83,Kansas,34401,0.004825441120897648,11061,0.006031477540230298
F,2022,Sophia,75,Kansas,34401,0.004360338362256911,12361,0.006740357460879371
F,2022,Luna,67,Kansas,34401,0.003895235603616174,8957,0.004884182653272108
M,2022,Liam,179,Kansas,34401,0.010406674224586495,20533,0.01119648570052877
M,2022,Oliver,168,Kansas,34401,0.00976715793145548,15141,0.008256269906575079
M,2022,Henry,164,Kansas,34401,0.009534606552135113,11262,0.006141081281807579
M,2022,Theodore,145,Kansas,34401,0.008429987500363362,10800,0.005889156263853832
M,2022,Noah,140,Kansas,34401,0.008139298276212901,18708,0.010201327350386803
M,2022,James,132,Kansas,34401,0.007674195517572164,12089,0.006592037969789719
M,2022,Elijah,122,Kansas,34401,0.007092817069271242,12054,0.006572952741156859
M,2022,William,113,Kansas,34401,0.006569576465800413,11330,0.006178161154579992
M,2022,Lucas,104,Kansas,34401,0.0060463358623295835,10950,0.005970950100851801
M,2022,Benjamin,100,Kansas,34401,0.005813784483009215,10884,0.0059349608125726944
F,2022,Charlotte,242,South Carolina,57820,0.008370805949498444,12936,0.007053900502704922
